,Action & Adventure,Children & Family Movies,Classic Movies,Comedies,Crime TV Shows,Cult Movies,Documentaries,Docuseries,Dramas,Horror Movies,Independent Movies,International Movies,International TV Shows,Kids' TV,Movies,Music & Musicals,Reality TV,Romantic Movies,Romantic TV Shows,Sci-Fi & Fantasy,Spanish-Language TV Shows,Sports Movies,Stand-Up Comedy,TV Comedies,TV Dramas,TV Horror,Teen TV Shows,Thrillers,British TV Shows,Faith & Spirituality,LGBTQ Movies,Science & Nature TV,TV Action & Adventure,TV Mysteries,TV Sci-Fi & Fantasy,TV Thrillers,Stand-Up Comedy & Talk Shows,Anime Series,Classic & Cult TV,Korean TV Shows,Anime Features,TV Shows
Argentina,3,2,1,10,4,1,6,1,27,3,6,42,10,3,1,3,1,3,1,1,14,4,7,1,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,10,16,3,14,9,1,14,9,29,3,7,26,27,14,3,3,9,3,2,6,0,7,1,12,16,1,0,8,3,1,2,6,1,1,2,2,0,0,0,0,0,0
Austria,0,0,0,0,0,0,3,0,5,0,4,7,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,9,4,0,13,8,1,5,0,33,4,12,47,10,0,0,2,0,3,0,2,0,0,0,0,9,0,0,7,0,0,3,0,1,1,1,0,0,0,0,0,0,0
Brazil,3,3,0,11,4,0,11,2,22,0,10,32,14,2,0,0,3,1,1,0,1,1,6,6,8,0,0,2,0,4,2,1,0,1,1,0,1,0,0,0,0,0
Bulgaria,3,1,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,29,43,0,68,15,6,31,10,56,22,32,44,23,51,5,9,7,16,2,16,0,9,2,28,27,7,1,31,3,2,2,4,8,6,5,5,0,2,2,1,0,0
Chile,1,1,0,6,1,0,0,0,9,2,5,13,4,0,0,0,0,0,0,0,4,1,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,47,9,0,23,4,1,5,1,26,1,1,59,31,4,0,1,0,9,18,11,0,0,0,9,18,0,3,4,1,1,0,0,6,1,3,0,0,0,0,1,1,0
Colombia,0,0,0,5,16,0,2,1,4,0,2,10,21,0,0,0,0,2,2,1,21,0,3,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,1,0,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,3,1,0,2,2,1,1,4,4,0,1,8,2,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Denmark,3,2,0,1,1,1,9,0,14,0,7,20,6,3,0,0,0,1,0,0,0,1,0,2,6,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Egypt,7,1,0,25,1,0,1,0,18,1,3,44,9,0,0,2,0,5,2,0,0,0,0,2,7,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
