,Argentina,Australia,Belgium,Brazil,Bulgaria,Cambodia,Canada,Chile,China,Colombia,Czech Republic,Denmark,Egypt,Finland,France,Germany,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Luxembourg,Malaysia,Malta,Mexico,Morocco,Nepal,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Paraguay,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Arab Emirates,United Kingdom,United States,Vietnam,Greece,Cayman Islands,East Germany,Kazakhstan,Lebanon,Malawi,Qatar,West Germany,Liechtenstein,"Poland,",Austria,Bangladesh,Croatia,Cyprus,Ghana,Jordan,Peru,Portugal,Romania,Saudi Arabia,Slovenia,Ukraine,Uruguay,Cuba,Afghanistan,Armenia,Bermuda,Botswana,Dominican Republic,Ecuador,Georgia,Iraq,Mongolia,Namibia,Nicaragua,Panama,Samoa,Senegal,Sri Lanka,Uganda,"United Kingdom,","United States,",Vatican City,Venezuela,Zimbabwe,Albania,Azerbaijan,Guatemala,Iran,Kenya,Kuwait,Latvia,Mauritius,Montenegro,Slovakia,Somalia,Sudan,Syria
Action & Adventure,3,11,10,3,3,1,37,1,53,2,3,3,7,1,21,23,64,2,1,130,5,2,4,3,43,1,3,2,12,1,1,1,7,2,2,2,1,5,3,3,1,5,9,24,1,8,2,1,5,9,10,3,65,324,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anime Features,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anime Series,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British TV Shows,0,3,0,0,0,0,3,0,1,0,1,0,0,0,1,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,194,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children & Family Movies,2,16,4,3,1,1,43,1,9,0,1,2,1,0,15,12,2,0,0,15,3,3,0,2,9,3,1,0,3,0,0,1,2,0,1,0,0,0,0,1,0,0,0,5,0,6,0,1,1,0,1,3,24,258,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classic & Cult TV,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classic Movies,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,61,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedies,11,26,13,17,0,1,96,6,32,5,2,3,27,2,54,32,32,0,0,261,6,6,3,8,15,0,8,0,23,0,2,6,1,18,6,7,0,17,2,2,0,2,6,17,0,45,6,4,41,15,47,5,105,646,2,1,1,1,0,1,0,2,2,0,0,1,1,1,1,1,1,3,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime TV Shows,4,9,8,4,0,0,15,1,4,16,2,1,1,2,18,11,2,0,1,7,0,2,4,3,12,0,0,1,23,0,0,3,0,0,2,1,0,0,3,6,0,3,2,16,0,20,4,0,4,3,10,1,43,118,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cult Movies,1,1,1,0,0,0,6,0,1,0,1,1,0,0,3,2,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
