,genre,country,count
0,Action & Adventure,Argentina,3
1,Action & Adventure,Australia,10
2,Action & Adventure,Austria,0
3,Action & Adventure,Belgium,9
4,Action & Adventure,Brazil,3
5,Action & Adventure,Bulgaria,3
6,Action & Adventure,Cambodia,1
7,Action & Adventure,Canada,29
8,Action & Adventure,Chile,1
9,Action & Adventure,China,47
10,Action & Adventure,Colombia,0
11,Action & Adventure,Croatia,0
12,Action & Adventure,Cyprus,0
13,Action & Adventure,Czech Republic,3
14,Action & Adventure,Denmark,3
15,Action & Adventure,Egypt,7
16,Action & Adventure,Finland,1
17,Action & Adventure,France,18
18,Action & Adventure,Georgia,0
19,Action & Adventure,Germany,23
20,Action & Adventure,Ghana,0
21,Action & Adventure,Hong Kong,64
22,Action & Adventure,Iceland,1
23,Action & Adventure,India,126
24,Action & Adventure,Indonesia,5
25,Action & Adventure,Iran,0
26,Action & Adventure,Ireland,1
27,Action & Adventure,Israel,1
28,Action & Adventure,Italy,3
29,Action & Adventure,Japan,39
30,Action & Adventure,Lebanon,0
31,Action & Adventure,Malaysia,3
32,Action & Adventure,Mauritius,0
33,Action & Adventure,Mexico,6
34,Action & Adventure,Netherlands,1
35,Action & Adventure,New Zealand,5
36,Action & Adventure,Norway,2
37,Action & Adventure,Pakistan,2
38,Action & Adventure,Paraguay,1
39,Action & Adventure,Peru,0
40,Action & Adventure,Philippines,5
41,Action & Adventure,Poland,2
42,Action & Adventure,Portugal,0
43,Action & Adventure,Romania,0
44,Action & Adventure,Russia,2
45,Action & Adventure,Saudi Arabia,0
46,Action & Adventure,Serbia,1
47,Action & Adventure,Singapore,5
48,Action & Adventure,Slovenia,0
49,Action & Adventure,Somalia,0
50,Action & Adventure,South Africa,9
51,Action & Adventure,South Korea,15
52,Action & Adventure,Soviet Union,1
53,Action & Adventure,Spain,5
54,Action & Adventure,Sweden,2
55,Action & Adventure,Switzerland,1
56,Action & Adventure,Taiwan,2
57,Action & Adventure,Thailand,7
58,Action & Adventure,Turkey,5
59,Action & Adventure,United Arab Emirates,3
60,Action & Adventure,United Kingdom,59
61,Action & Adventure,United States,247
62,Action & Adventure,Uruguay,0
63,Action & Adventure,Venezuela,0
64,Children & Family Movies,Argentina,2
65,Children & Family Movies,Australia,16
66,Children & Family Movies,Austria,0
67,Children & Family Movies,Belgium,4
68,Children & Family Movies,Brazil,3
69,Children & Family Movies,Bulgaria,1
70,Children & Family Movies,Cambodia,1
71,Children & Family Movies,Canada,43
72,Children & Family Movies,Chile,1
73,Children & Family Movies,China,9
74,Children & Family Movies,Colombia,0
75,Children & Family Movies,Croatia,0
76,Children & Family Movies,Cyprus,0
77,Children & Family Movies,Czech Republic,1
78,Children & Family Movies,Denmark,2
79,Children & Family Movies,Egypt,1
80,Children & Family Movies,Finland,0
81,Children & Family Movies,France,15
82,Children & Family Movies,Georgia,0
83,Children & Family Movies,Germany,13
84,Children & Family Movies,Ghana,0
85,Children & Family Movies,Hong Kong,2
86,Children & Family Movies,Iceland,0
87,Children & Family Movies,India,15
88,Children & Family Movies,Indonesia,3
89,Children & Family Movies,Iran,0
90,Children & Family Movies,Ireland,3
91,Children & Family Movies,Israel,0
92,Children & Family Movies,Italy,2
93,Children & Family Movies,Japan,9
94,Children & Family Movies,Lebanon,1
95,Children & Family Movies,Malaysia,1
96,Children & Family Movies,Mauritius,0
97,Children & Family Movies,Mexico,3
98,Children & Family Movies,Netherlands,1
99,Children & Family Movies,New Zealand,2
100,Children & Family Movies,Norway,1
101,Children & Family Movies,Pakistan,0
102,Children & Family Movies,Paraguay,0
103,Children & Family Movies,Peru,0
104,Children & Family Movies,Philippines,0
105,Children & Family Movies,Poland,0
106,Children & Family Movies,Portugal,0
107,Children & Family Movies,Romania,0
108,Children & Family Movies,Russia,1
109,Children & Family Movies,Saudi Arabia,0
110,Children & Family Movies,Serbia,0
111,Children & Family Movies,Singapore,0
112,Children & Family Movies,Slovenia,0
113,Children & Family Movies,Somalia,0
114,Children & Family Movies,South Africa,0
115,Children & Family Movies,South Korea,5
116,Children & Family Movies,Soviet Union,0
117,Children & Family Movies,Spain,6
118,Children & Family Movies,Sweden,0
119,Children & Family Movies,Switzerland,1
120,Children & Family Movies,Taiwan,1
121,Children & Family Movies,Thailand,0
122,Children & Family Movies,Turkey,1
123,Children & Family Movies,United Arab Emirates,3
124,Children & Family Movies,United Kingdom,24
125,Children & Family Movies,United States,258
126,Children & Family Movies,Uruguay,0
127,Children & Family Movies,Venezuela,0
128,Classic Movies,Argentina,1
129,Classic Movies,Australia,3
130,Classic Movies,Austria,0
131,Classic Movies,Belgium,0
132,Classic Movies,Brazil,0
133,Classic Movies,Bulgaria,0
134,Classic Movies,Cambodia,0
135,Classic Movies,Canada,0
136,Classic Movies,Chile,0
137,Classic Movies,China,0
138,Classic Movies,Colombia,0
139,Classic Movies,Croatia,0
140,Classic Movies,Cyprus,0
141,Classic Movies,Czech Republic,0
142,Classic Movies,Denmark,0
143,Classic Movies,Egypt,0
144,Classic Movies,Finland,0
145,Classic Movies,France,0
146,Classic Movies,Georgia,0
147,Classic Movies,Germany,1
148,Classic Movies,Ghana,0
149,Classic Movies,Hong Kong,1
150,Classic Movies,Iceland,0
151,Classic Movies,India,12
152,Classic Movies,Indonesia,0
153,Classic Movies,Iran,0
154,Classic Movies,Ireland,0
155,Classic Movies,Israel,0
156,Classic Movies,Italy,2
157,Classic Movies,Japan,3
158,Classic Movies,Lebanon,0
159,Classic Movies,Malaysia,0
160,Classic Movies,Mauritius,0
161,Classic Movies,Mexico,1
162,Classic Movies,Netherlands,0
163,Classic Movies,New Zealand,0
164,Classic Movies,Norway,0
165,Classic Movies,Pakistan,0
166,Classic Movies,Paraguay,0
167,Classic Movies,Peru,0
168,Classic Movies,Philippines,0
169,Classic Movies,Poland,2
170,Classic Movies,Portugal,0
171,Classic Movies,Romania,0
172,Classic Movies,Russia,0
173,Classic Movies,Saudi Arabia,0
174,Classic Movies,Serbia,0
175,Classic Movies,Singapore,0
176,Classic Movies,Slovenia,0
177,Classic Movies,Somalia,0
178,Classic Movies,South Africa,0
179,Classic Movies,South Korea,0
180,Classic Movies,Soviet Union,0
181,Classic Movies,Spain,1
182,Classic Movies,Sweden,0
183,Classic Movies,Switzerland,0
184,Classic Movies,Taiwan,0
185,Classic Movies,Thailand,0
186,Classic Movies,Turkey,0
187,Classic Movies,United Arab Emirates,0
188,Classic Movies,United Kingdom,11
189,Classic Movies,United States,61
190,Classic Movies,Uruguay,0
191,Classic Movies,Venezuela,0
192,Comedies,Argentina,10
193,Comedies,Australia,14
194,Comedies,Austria,0
195,Comedies,Belgium,13
196,Comedies,Brazil,11
197,Comedies,Bulgaria,0
198,Comedies,Cambodia,1
199,Comedies,Canada,68
200,Comedies,Chile,6
201,Comedies,China,23
202,Comedies,Colombia,5
203,Comedies,Croatia,1
204,Comedies,Cyprus,0
205,Comedies,Czech Republic,2
206,Comedies,Denmark,1
207,Comedies,Egypt,25
208,Comedies,Finland,1
209,Comedies,France,37
210,Comedies,Georgia,0
211,Comedies,Germany,31
212,Comedies,Ghana,1
213,Comedies,Hong Kong,31
214,Comedies,Iceland,0
215,Comedies,India,246
216,Comedies,Indonesia,6
217,Comedies,Iran,0
218,Comedies,Ireland,4
219,Comedies,Israel,2
220,Comedies,Italy,6
221,Comedies,Japan,6
222,Comedies,Lebanon,1
223,Comedies,Malaysia,6
224,Comedies,Mauritius,0
225,Comedies,Mexico,20
226,Comedies,Netherlands,5
227,Comedies,New Zealand,1
228,Comedies,Norway,1
229,Comedies,Pakistan,7
230,Comedies,Paraguay,0
231,Comedies,Peru,3
232,Comedies,Philippines,17
233,Comedies,Poland,2
234,Comedies,Portugal,1
235,Comedies,Romania,3
236,Comedies,Russia,0
237,Comedies,Saudi Arabia,1
238,Comedies,Serbia,0
239,Comedies,Singapore,0
240,Comedies,Slovenia,1
241,Comedies,Somalia,0
242,Comedies,South Africa,5
243,Comedies,South Korea,10
244,Comedies,Soviet Union,0
245,Comedies,Spain,40
246,Comedies,Sweden,4
247,Comedies,Switzerland,3
248,Comedies,Taiwan,3
249,Comedies,Thailand,12
250,Comedies,Turkey,45
251,Comedies,United Arab Emirates,5
252,Comedies,United Kingdom,67
253,Comedies,United States,447
254,Comedies,Uruguay,1
255,Comedies,Venezuela,0
256,Crime TV Shows,Argentina,4
257,Crime TV Shows,Australia,9
258,Crime TV Shows,Austria,0
259,Crime TV Shows,Belgium,8
260,Crime TV Shows,Brazil,4
261,Crime TV Shows,Bulgaria,0
262,Crime TV Shows,Cambodia,0
263,Crime TV Shows,Canada,15
264,Crime TV Shows,Chile,1
265,Crime TV Shows,China,4
266,Crime TV Shows,Colombia,16
267,Crime TV Shows,Croatia,0
268,Crime TV Shows,Cyprus,0
269,Crime TV Shows,Czech Republic,2
