,IMDB_titleID,IMDB_rating,IMDB_title_name
0,/title/tt9428190/,3.2 based on 294 user ratings, Norm of the North: King Sized Adventure (2019) 
1,/title/tt6999080/,5.0 based on 21 user ratings, Jandino: Whatever it Takes (2016) (TV Special) 
2,/title/tt1659175/,"7.9 based on 5,331 user ratings"," Transformers: Prime (2010) (TV Series) aka ""Transformers Prime"" "
3,/title/tt3604232/,6.0 based on 830 user ratings, Transformers: Robots in Disguise (2014) (TV Series) 
4,/title/tt6119504/,"5.2 based on 5,496 user ratings", #Realityhigh (2017) 
5,/title/tt4418844/,7.0 based on 221 user ratings, Apaches (2015) (TV Series) 
6,/title/tt1971325/,"6.1 based on 53,988 user ratings"," Autómata (I) (2014) aka ""Automata"" "
7,/title/tt8134310/,4.7 based on 27 user ratings, Fabrizio Copano: Solo pienso en mi (2017) (TV Special) 
8,/title/tt7293754/,6.6 based on 317 user ratings, Fire Chasers (2017) (TV Mini-Series) 
9,/title/tt1361318/,"5.5 based on 15,417 user ratings"," Una decisión peligrosa (2014) aka ""Good People"" "
10,Not Found,Not Found,Not Found
11,/title/tt2917388/,"6.1 based on 19,379 user ratings"," El caso Heineken (2015) aka ""Kidnapping Mr. Heineken"" "
12,Not Found,Not Found,Not Found
13,Not Found,Not Found,Not Found
14,Not Found,Not Found,Not Found
15,Not Found,Not Found,Not Found
16,Not Found,Not Found,Not Found
17,Not Found,Not Found,Not Found
18,Not Found,Not Found,Not Found
19,/title/tt3774694/,"6.1 based on 47,167 user ratings", Love (II) (2015) 
20,/title/tt2608324/,"5.6 based on 1,275 user ratings", Manhattan Romance (2014) 
21,/title/tt2718440/,"6.1 based on 8,480 user ratings", Moonwalkers (2015) 
22,/title/tt3621360/,6.2 based on 458 user ratings, Rolling Papers (2015) 
23,/title/tt1772264/,"6.8 based on 51,166 user ratings"," Asylum: El experimento (2014) aka ""Stonehearst Asylum - Diese Mauern wirst du nie verlassen"" "
24,/title/tt3687398/,"4.7 based on 5,016 user ratings"," Escándalo en el poder (I) (2015) aka ""The Runner"" "
25,/title/tt3799372/,"5.6 based on 11,466 user ratings", 6 Years (2015) 
26,/title/tt2101442/,5.5 based on 8 user ratings, Star Castle (1980) (Video Game) 
27,Not Found,Not Found,Not Found
28,/title/tt8893502/,6.8 based on 334 user ratings, First and Last (2018) (TV Series) 
29,/title/tt2063782/,"6.3 based on 1,946 user ratings"," Ladda Land (2011) aka ""Laddaland"" "
30,/title/tt7133686/,"6.6 based on 13,746 user ratings"," La nueva generación (I) (2018) aka ""Next Gen"" "
31,/title/tt3120280/,"5.8 based on 34,162 user ratings"," Sierra Burgess es una perdedora (2018) aka ""Sierra Burgess Is a Loser"" "
32,/title/tt6186696/,5.3 based on 902 user ratings," La mujer más asesinada del mundo (2018) aka ""The Most Assassinated Woman in the World"" "
33,/title/tt5078354/,"6.0 based on 1,068 user ratings"," Cézanne y yo (2016) aka ""Cézanne et moi"" "
34,/title/tt9165404/,7.9 based on 186 user ratings, Archibald's Next Big Thing (2019) (TV Series) 
35,/title/tt10324144/,"8.2 based on 22,424 user ratings", Article 15 (2019) 
36,/title/tt7391996/,"9.0 based on 4,232 user ratings"," C/o Kancharapalem (2018) aka ""Care of Kancharapalem"" "
37,/title/tt8490894/,"7.9 based on 1,702 user ratings", Ee Nagaraniki Emaindi (2018) 
38,/title/tt9749604/,"4.4 based on 1,357 user ratings"," Öldür Beni Sevgilim (2019) aka ""Kill Me If You Dare"" "
39,/title/tt5952634/,"7.9 based on 28,795 user ratings"," El espía (2019) (TV Mini-Series) aka ""The Spy"" "
40,/title/tt2141773/,"5.4 based on 4,702 user ratings", Hell and Back (2015) 
41,/title/tt2338151/,"8.1 based on 159,868 user ratings", PK (2014) 
42,/title/tt3116054/,4.8 based on 176 user ratings, Hard Tide (2015) 
43,/title/tt4558042/,"5.9 based on 1,321 user ratings", Elstree 1976 (2015) 
44,/title/tt10937318/,5.2 based on 218 user ratings, American Factory: A Conversation with the Obamas (2019) (Short) 
45,/title/tt1603257/,"4.7 based on 22,647 user ratings", ATM (I) (2012) 
46,/title/tt1621642/,"7.2 based on 1,650 user ratings"," Rot fai faa... Maha na ter (2009) aka ""BTS - Bangkok Traffic (Love) Story"" "
47,/title/tt4222718/,"7.0 based on 1,884 user ratings", Ai Fai.. Thank You Love You (2014) 
48,Not Found,Not Found,Not Found
49,/title/tt1521846/,"6.7 based on 2,305 user ratings"," Ha phraeng (2009) aka ""Phobia 2"" "
50,/title/tt0440803/,"7.1 based on 40,856 user ratings", Shutter: El fotógrafo (II) (2004) 
51,/title/tt1869682/,"7.5 based on 2,095 user ratings", SuckSeed: Huay Khan Thep (2011) 
52,/title/tt2989524/,"6.6 based on 8,482 user ratings", Carrie Pilby (2016) 
53,/title/tt7335938/,"7.2 based on 1,636 user ratings", Marc Maron: Too Real (2017) (TV Special) 
54,/title/tt5595688/,"7.2 based on 4,693 user ratings", No Tomorrow (2016) (TV Series) 
55,/title/tt5580778/,7.1 based on 178 user ratings, Saawan (2016) 
56,/title/tt6318848/,"4.7 based on 1,517 user ratings", The Heretics (2017) 
57,/title/tt7643622/,5.3 based on 485 user ratings, The World We Make (2019) 
58,/title/tt9378320/,5.2 based on 253 user ratings, Watchman (2019) 
59,/title/tt1825683/,"7.3 based on 614,478 user ratings", Black Panther (2018) 
60,/title/tt3064298/,"6.8 based on 48,386 user ratings"," Amor sin cita previa (I) (2015) aka ""Man Up"" "
61,/title/tt0186151/,"7.3 based on 100,342 user ratings", Frequency (2000) 
62,/title/tt10847330/,6.3 based on 314 user ratings, Mo Gilligan: Momentum (2019) (TV Special) 
63,/title/tt5034326/,"8.0 based on 6,128 user ratings", Adam Ruins Everything (2015) (TV Series) 
64,/title/tt0760437/,"7.2 based on 12,551 user ratings", Ben 10 (2005) (TV Series) 
65,/title/tt1430615/,"6.5 based on 18,554 user ratings"," Una aventura extraordinaria (2012) aka ""Big Miracle"" "
66,/title/tt8205180/,7.5 based on 672 user ratings, Christiane Amanpour: Sex & Love Around the World (2018) (TV Series) 
67,/title/tt5144776/,"8.3 based on 1,142 user ratings"," Los ochenta (2016) (TV Mini-Series) aka ""The Eighties"" "
68,/title/tt5737432/,8.2 based on 955 user ratings," Los noventa (2017) (TV Series) aka ""The Nineties"" "
69,/title/tt4491456/,"8.3 based on 1,198 user ratings"," Los setenta (2015) (TV Mini-Series) aka ""The Seventies"" "
70,/title/tt4839610/,"7.9 based on 11,289 user ratings"," Somos osos (2014) (TV Series) aka ""We Bare Bears"" "
71,Not Found,Not Found,Not Found
72,/title/tt6596634/,7.4 based on 930 user ratings, The Royal House of Windsor (2017) (TV Series) 
73,/title/tt5952332/,"6.9 based on 20,788 user ratings", Amanda Knox (2016) 
